Voo,Origem,Destino,Tipo_Aviao,Partida,Chegada,Lugares_Executiva,Lugares_Economica,Lugares_Exec_Vendidos,Lugares_Econ_Vendidos
114,EWR,OPO,332,9/1/2009 0:05,9/1/2009 7:15,24,239,8,157
208,DKR,LIS,319,9/1/2009 0:35,9/1/2009 4:40,15,110,6,107
176,GIG,LIS,343,9/1/2009 1:50,9/1/2009 11:25,36,232,19,192
194,GRU,LIS,332,9/1/2009 1:50,9/1/2009 11:35,24,244,12,212
152,REC,LIS,332,9/1/2009 2:50,9/1/2009 10:20,24,239,11,188
210,DKR,LIS,319,9/1/2009 3:00,9/1/2009 6:55,15,110,8,108
835,FCO,LIS,320,9/1/2009 4:20,9/1/2009 7:20,14,143,3,125
611,BRU,LIS,319,9/1/2009 4:25,9/1/2009 7:05,15,113,2,89
667,AMS,LIS,320,9/1/2009 4:25,9/1/2009 7:25,14,143,0,81
751,BCN,LIS,319,9/1/2009 4:35,9/1/2009 6:35,15,113,2,72
829,LIN,LIS,320,9/1/2009 4:35,9/1/2009 7:25,14,143,2,122
429,CDG,LIS,320,9/1/2009 4:55,9/1/2009 7:25,14,143,0,33
459,ORY,OPO,319,9/1/2009 5:00,9/1/2009 7:05,15,113,0,67
1602,FNC,LIS,320,9/1/2009 5:00,9/1/2009 6:35,14,143,4,140
1951,OPO,LIS,320,9/1/2009 5:05,9/1/2009 6:00,14,143,13,143
1948,LIS,OPO,319,9/1/2009 5:10,9/1/2009 6:05,15,113,0,6
1900,FAO,LIS,319,9/1/2009 5:15,9/1/2009 6:00,15,113,5,99
441,ORY,LIS,320,9/1/2009 5:20,9/1/2009 7:45,14,143,1,63
464,OPO,ORY,319,9/1/2009 6:05,9/1/2009 8:10,15,113,13,113
711,MAD,LIS,319,9/1/2009 6:05,9/1/2009 7:20,15,113,2,51
748,LIS,BCN,319,9/1/2009 6:05,9/1/2009 7:55,15,113,2,98
1572,FNC,OPO,319,9/1/2009 6:05,9/1/2009 8:00,0,132,0,121
272,JNB,LIS,332,9/1/2009 6:10,9/1/2009 17:00,24,244,6,106
604,LIS,BRU,319,9/1/2009 6:15,9/1/2009 9:00,15,113,11,105
834,LIS,FCO,320,9/1/2009 6:15,9/1/2009 9:10,14,143,14,138
424,LIS,CDG,320,9/1/2009 6:20,9/1/2009 8:55,14,143,10,133
1604,FNC,LIS,319,9/1/2009 6:40,9/1/2009 8:15,15,113,15,113
354,LIS,LHR,320,9/1/2009 6:45,9/1/2009 9:35,14,143,14,142
1953,OPO,LIS,319,9/1/2009 6:45,9/1/2009 7:40,15,113,15,113
432,LIS,ORY,321,9/1/2009 6:55,9/1/2009 9:25,14,178,13,175
668,LIS,AMS,320,9/1/2009 6:55,9/1/2009 9:45,14,143,0,104
920,LIS,ZRH,319,9/1/2009 6:55,9/1/2009 9:40,15,113,2,74
806,LIS,MXP,320,9/1/2009 7:00,9/1/2009 9:35,14,143,11,140
856,LIS,BLQ,319,9/1/2009 7:05,9/1/2009 9:50,15,113,7,113
1821,LIS,TER,321,9/1/2009 7:05,9/1/2009 9:45,14,178,2,144
1861,LIS,PDL,321,9/1/2009 7:05,9/1/2009 9:35,14,178,8,178
1952,LIS,OPO,320,9/1/2009 7:10,9/1/2009 8:05,14,143,10,102
